417.36,244.21,609.82,242.33,611.61,425.86,419.15,427.74
407.76,239.7,597.81,236.95,600.66,433.74,410.61,436.49
413.13,229.45,605.76,253.14,582.29,443.98,389.66,420.29
393.36,231.19,572.39,230.15,573.44,410.68,394.41,411.72
388.42,223.58,562.57,229.08,557.4,393.07,383.25,387.57
382.64,223.35,552.47,224.15,551.68,391.74,381.84,390.94
375.66,218.35,540.4,222.64,536.37,376.94,371.64,372.65
376.64,214.98,541.41,223.4,533.35,381.0,368.58,372.58
371.02,216.94,526.29,217.02,526.21,362.48,370.94,362.4
357.42,219.43,498.74,203.35,517.16,365.24,375.84,381.32
356.58,213.36,497.56,199.62,511.94,347.2,370.96,360.94
350.56,212.05,486.26,199.61,499.38,342.75,363.69,355.19
351.46,208.79,478.26,199.35,488.79,340.67,361.98,350.11
353.68,206.56,473.96,206.51,474.01,335.36,353.74,335.41
347.15,202.55,468.73,195.53,477.06,339.92,355.49,346.93
345.0,202.0,472.0,202.0,472.0,330.0,345.0,330.0
349.98,199.76,464.39,195.09,469.96,331.29,355.55,335.97
352.9,196.97,463.01,198.24,461.49,330.15,351.39,328.89
345.42,191.64,454.19,185.96,461.4,324.01,352.63,329.69
350.63,194.85,453.19,192.43,456.09,315.27,353.53,317.69
348.1,190.21,447.14,187.01,451.31,315.79,352.27,318.99
344.0,189.0,450.0,189.0,450.0,307.0,344.0,307.0
349.93,190.48,445.55,189.6,446.71,314.62,351.08,315.51
341.0,186.0,445.0,186.0,445.0,300.0,341.0,300.0
341.0,184.0,442.0,184.0,442.0,294.0,341.0,294.0
351.11,173.81,432.46,173.13,433.53,301.05,352.18,301.73
353.65,182.6,438.09,189.8,428.91,297.49,344.47,290.29
349.33,184.83,427.22,182.49,430.32,285.98,352.43,288.32
352.08,180.5,429.39,180.9,428.82,290.36,351.51,289.96
349.96,175.09,424.51,172.78,427.89,281.9,353.35,284.22
354.68,178.04,429.78,183.06,422.65,289.67,347.56,284.66
350.9,173.88,424.96,173.8,425.07,280.71,351.01,280.79
348.55,172.93,422.07,169.98,426.42,278.37,352.9,281.32
349.39,175.9,421.02,172.23,425.99,269.16,354.36,272.83
344.99,173.93,418.17,166.01,429.69,272.49,356.52,280.41
344.96,175.97,419.1,169.22,428.07,267.76,353.93,274.51
